genre	artist_name	track_name	track_id	popularity
Dance	Zedd	Stay (with Alessia Cara)	6uBhi9gBXWjanegOb2Phh0	82
Dance	James Arthur	Rewrite The Stars (with James Arthur & Anne-Marie)	78nplE9X2ZGvQh3TKgvldE	83
Dance	Gym Class Heroes	Stereo Hearts (feat. Adam Levine)	0qOnSQQF0yzuPWsXrQ9paz	77
Dance	Halsey	Gasoline	2IO7yf562c1zLzpanal1DT	76
Dance	Demi Lovato	Stone Cold	56twMOlq9DJc3EgpVUVIrW	79
Dance	Hailee Steinfeld	Capital Letters	6l0Ky2PycJV1Bz88kFeVGL	81
Dance	Halsey	Now Or Never	7i2DJ88J7jQ8K7zqFX2fW8	76
Dance	benny blanco	I Found You (with Calvin Harris)	5sdb5pMhcK44SSLsj1moUh	82
Dance	Julia Michaels	Heaven	1T575AhHueYinKSDflEsGK	79
Dance	ZAYN	PILLOWTALK	0PDUDa38GO8lMxLCRc4lL1	78
Dance	Gryffin	Tie Me Down (with Elley Duh�)	4QVS8YCpK71R4FsxSMCjhP	76
Dance	Ne-Yo	So Sick	6brl7bwOHmGFkNw3MBqssT	78
Dance	Rihanna	Take A Bow	3goSVuTt3fDYDP6kRnFwuL	79
Dance	T-Pain	Buy U a Drank (Shawty Snappin')	2aIdVb8v9KTpEZnftkz2mD	77
Dance	Lady Gaga	Music To My Eyes	5IXk9TVBuxG87sFrwclBJw	78
Dance	Bruno Mars	Versace On The Floor	0kN8xEmgMW9mh7UmDYHlJP	78
Dance	Meghan Trainor	Like I'm Gonna Lose You	2YlZnw2ikdb837oKMKjBkW	79
Dance	Selena Gomez	Bad Liar	2fZQIJew3nkNe99s2PKzul	76
Dance	Usher	Yeah! (feat. Lil Jon & Ludacris)	5rb9QrpfcKFHM1EUbSIurX	80
Dance	Shawn Mendes	Fallin' All In You	5EYBryPOgIEPB7r5QIy6eG	79
Dance	Shawn Mendes	Youth (feat. Khalid)	1h0yImRPIVAjhhHeNVlTuC	80
Dance	Camila Cabello	Real Friends	5vnpANH92iEajvGwE2oQ6r	79
Dance	Demi Lovato	Tell Me You Love Me	3hYvGiw2Q8QE2YWdIJLBz0	76
Dance	P!nk	What About Us	0Qh38w01QRXK6KHIv0e3hb	78
Dance	Justin Timberlake	Cry Me a River	7Lf7oSEVdzZqTA0kEDSlS5	77
Dance	Lady Gaga	Look What I Found	6Id5RM56PFn2hB4I0ox0WA	77
Dance	Sia	The Greatest	7xHWNBFm6ObGEQPaUxHuKO	77
